PS C:\Users\isikm> & C:/ProgramData/Anaconda3/python.exe "g:/Drive'ım/Okul/2024C-GÜZ/KON492 Bitirme Tasarım Projesi/pendulum_yeni.py"
2024-09-24 14:12:03.695201: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:05.510030: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:11.790020: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
episode: 71/1000, score: 1.5707389824096363, epsilon: 0.7005493475733617, done: False
episode: 72/1000, score: -0.7469002999694639, epsilon: 0.697046600835495, done: False
episode: 73/1000, score: 12.77868732756027, epsilon: 0.6935613678313175, done: False
episode: 74/1000, score: -7.5508289231688455, epsilon: 0.6900935609921609, done: False
episode: 75/1000, score: 6.7921858141475475, epsilon: 0.6866430931872001, done: False
episode: 76/1000, score: 18.17554029334258, epsilon: 0.6832098777212641, done: False
episode: 77/1000, score: 15.45388233517843, epsilon: 0.6797938283326578, done: False
episode: 78/1000, score: 6.218284689638549, epsilon: 0.6763948591909945, done: False
episode: 79/1000, score: 5.855077173588682, epsilon: 0.6730128848950395, done: False
episode: 80/1000, score: 4.32570457146851, epsilon: 0.6696478204705644, done: False
episode: 81/1000, score: 3.2174497007993317, epsilon: 0.6662995813682115, done: False
episode: 82/1000, score: 2.166916309276171, epsilon: 0.6629680834613705, done: False
episode: 83/1000, score: -6.351773252008286, epsilon: 0.6596532430440636, done: False
episode: 84/1000, score: 5.8860047768405375, epsilon: 0.6563549768288433, done: False
episode: 85/1000, score: 0.5202022336600887, epsilon: 0.653073201944699, done: False
episode: 86/1000, score: 1.3487213050896, epsilon: 0.6498078359349755, done: False
episode: 87/1000, score: 9.935655771209957, epsilon: 0.6465587967553006, done: False
episode: 88/1000, score: 17.817220484330296, epsilon: 0.6433260027715241, done: False
episode: 89/1000, score: -2.3426525746774036, epsilon: 0.6401093727576664, done: False
episode: 90/1000, score: -5.959991872532144, epsilon: 0.6369088258938781, done: False
episode: 91/1000, score: 6.498011835785053, epsilon: 0.6337242817644086, done: False
episode: 92/1000, score: -6.929557521246571, epsilon: 0.6305556603555866, done: False
episode: 93/1000, score: -3.2418854152251244, epsilon: 0.6274028820538087, done: False
episode: 94/1000, score: 2.5500940187533434, epsilon: 0.6242658676435396, done: False
episode: 95/1000, score: 4.689848885039399, epsilon: 0.6211445383053219, done: False
episode: 96/1000, score: -9.531206296211838, epsilon: 0.6180388156137953, done: False
episode: 97/1000, score: -6.313367236456378, epsilon: 0.6149486215357263, done: False
episode: 98/1000, score: -1.0552805795182685, epsilon: 0.6118738784280476, done: False
episode: 99/1000, score: -6.197770530037601, epsilon: 0.6088145090359074, done: False
episode: 100/1000, score: 1.7463930348025078, epsilon: 0.6057704364907278, done: False
%%% Parametre güncellemesi yapıldı. Learning rate: 0.005, Epsilon: 0.5424674258774468 %%%
episode: 101/1000, score: 3.280784413871568, epsilon: 0.5424674258774468, done: False
episode: 102/1000, score: 5.092157319277121, epsilon: 0.5397550887480596, done: False
episode: 103/1000, score: -8.332684183041955, epsilon: 0.5370563133043192, done: False
episode: 104/1000, score: 1.737287651108466, epsilon: 0.5343710317377977, done: False
episode: 105/1000, score: 4.0489884173209365, epsilon: 0.5316991765791087, done: False
episode: 106/1000, score: 0.28539241310476293, epsilon: 0.5290406806962131, done: False
episode: 107/1000, score: -12.258686543914335, epsilon: 0.5263954772927321, done: False
episode: 108/1000, score: 3.2560353376847506, epsilon: 0.5237634999062684, done: False
episode: 109/1000, score: 0.7507084076370949, epsilon: 0.5211446824067371, done: False
episode: 110/1000, score: -0.6993243091015058, epsilon: 0.5185389589947034, done: False
episode: 111/1000, score: -15.47018892453587, epsilon: 0.5159462641997299, done: False
episode: 112/1000, score: -3.0649392549814287, epsilon: 0.5133665328787312, done: False
episode: 113/1000, score: -6.298452593800702, epsilon: 0.5107997002143376, done: False
episode: 114/1000, score: -6.094775337376734, epsilon: 0.5082457017132659, done: False
episode: 115/1000, score: -3.547269675711039, epsilon: 0.5057044732046996, done: False
episode: 116/1000, score: -2.177113430707193, epsilon: 0.5031759508386761, done: False
episode: 117/1000, score: -9.388169028267736, epsilon: 0.5006600710844826, done: False
episode: 118/1000, score: 20.191975219762526, epsilon: 0.4981567707290602, done: False
episode: 119/1000, score: -2.4710998444096437, epsilon: 0.4956659868754149, done: False
episode: 120/1000, score: -6.042119616621887, epsilon: 0.49318765694103783, done: False
episode: 121/1000, score: 2.0106337501813147, epsilon: 0.49072171865633263, done: False
