t,x,x_dot,theta,theta_dot,r,F
0.0,0.0,0.0,0.0,0.0,0.1,0.15454545454545454
0.01,8.70689323029292e-06,0.0017036409367793938,2.1771755313117788e-05,0.004260899618515106,0.1,0.15436363053237845
0.02,3.334396993763792e-05,0.0031885953986077816,8.34304487878055e-05,0.00798541277926826,0.1,0.15436485319040663
0.03,7.179956313977797e-05,0.004469748478648332,0.0001798469299306187,0.011219886732382212,0.1,0.15452762974747655
0.04,0.0001221063149501818,0.005561085991127243,0.0003063380686046358,0.014007219230475891,0.1,0.1548322753380773
0.05,0.00018243245108025817,0.006475747400372194,0.00045863346082023333,0.01638709599922727,0.1,0.1552607802424298
0.06,0.00025107356906291917,0.0072260756666143785,0.0006328444304769478,0.018396212627198764,0.1,0.1557966861931988
0.07,0.0003264449102645203,0.007823664186680202,0.0008254351762474757,0.02006848186407238,0.1,0.15642497115790818
0.08,0.0004070740874819055,0.00827940099748629,0.0010331959223766711,0.021435227255148796,0.1,0.15713194204266337
0.09,0.0004915942415517953,0.008603510400620492,0.001253217941156102,0.02252536398239923,0.1,0.15790513479790275
0.1,0.000578737601936728,0.008805592157209007,0.0014828703232644778,0.023365567728297662,0.1,0.15873322143984642
0.11,0.00066732942770052,0.008894658393704806,0.0017197783800700398,0.02398043232789389,0.1,0.15960592353221678
0.12,0.0007562823066517856,0.008879168351155613,0.0019618035694047614,0.024392616926917295,0.1,0.16051393170179412
0.13,0.0008445907917211822,0.008767061102893468,0.002207024843271941,0.024622983318941017,0.1,0.16144883078855948
0.14,0.0009313263548512089,0.008565786358406019,0.0024537213224667515,0.024690724092611784,0.1,0.1624030302566765
0.15,0.001015632639820795,0.00828233346437768,0.0027003562092000007,0.02461348218049722,0.1,0.16336969951647543
0.16,0.0010967209965045584,0.007923258707503404,0.002945561854543757,0.024407462364065397,0.1,0.1643427078300241
0.17,0.0011738662800822375,0.007494711017657094,0.00318812590288696,0.024087535254544875,0.1,0.16531656849389184
0.18,0.001246402899670965,0.007002456164319911,0.0034269784406217403,0.02366733423678104,0.1,0.16628638701242243
0.19,0.0013137211017550763,0.0064518995338215205,0.0036611800809975776,0.02315934583257693,0.1,0.16724781299330577
0.2,0.0013752634746381984,0.0058481075699010916,0.003889910921500055,0.022574993911263025,0.1,0.1681969955145555
0.21,0.0014305216609434132,0.005195827955337311,0.00411246031425213,0.02192471814826695,0.1,0.16913054172823128
0.22,0.0014790332659421316,0.004499508607911433,0.004328217393815644,0.021218047107143225,0.1,0.17004547848145476
