x,x_dot,theta,theta_dot
1.153149457889359880e-01,1.944288548360384172e-01,7.207320515374930903e-01,-2.609439819130034088e+00
1.275697180282050480e-01,4.477561882577946184e-02,5.781967907470649815e-01,-2.806155056354725508e-01
1.241490856455911979e-01,-1.096150937821298577e-01,6.626806616813277762e-01,1.993953177758136741e+00
1.080286854225589871e-01,-1.866705439214066398e-01,9.860388019364479950e-01,4.524972587645691213e+00
9.663996902428945157e-02,3.466451282417477159e-02,1.579599254687084287e+00,7.439608412537841886e+00
1.347268689685446330e-01,8.212529299497388635e-01,2.513695879282578982e+00,1.149911893122354023e+01
2.360188912761332636e-01,8.153267690361520881e-01,3.754438545660640614e+00,1.149798099763155257e+01
2.729568486431865892e-01,2.005789916461105798e-02,4.686885730791916949e+00,7.409339757476278265e+00
2.601860966817063359e-01,-1.984734438736137085e-01,5.275858870283991031e+00,4.459414478243564517e+00
2.432228607301210044e-01,-1.144732513112868555e-01,5.589557750577377249e+00,1.859911334832788254e+00
2.396081649008563463e-01,4.472716205741699563e-02,5.655624687094764624e+00,-5.203063987569452875e-01
2.515658103903597453e-01,1.840735604231297784e-01,5.483104908044880155e+00,-2.966781843970244470e+00
2.714072957184192614e-01,1.668255136714959785e-01,5.053169622315193621e+00,-5.680781681105583125e+00
2.704669274891657316e-01,-2.841783880442323440e-01,4.328724491689238008e+00,-8.988629336587182550e+00
1.983369606000457697e-01,-1.081009270248824761e+00,3.217717965437282057e+00,-1.281833332570656303e+01
1.186037240331158649e-01,-3.589715398730611851e-01,2.068090145227088339e+00,-9.412716580087803209e+00
1.138027163285384308e-01,1.580581467661501538e-01,1.310201134564068948e+00,-5.952460976206883636e+00
1.343501242524058614e-01,2.008832542080057348e-01,8.570162570952173375e-01,-3.158043053293633218e+00
1.481359982627327987e-01,6.254424779241755938e-02,6.704307643679733308e-01,-6.082272424276803369e-01
1.462349449040871163e-01,-9.674958493318767949e-02,7.325271713918638516e-01,1.862867774796470144e+00
1.315217243296417649e-01,-1.687011142852891388e-01,1.049462273939834045e+00,4.515672768137588555e+00
1.228769698966152707e-01,7.398287137726516915e-02,1.646402370709510121e+00,7.518888823770258689e+00
1.659753662708313982e-01,8.695228068098700414e-01,2.593116804776681494e+00,1.162642337256485092e+01
2.653595783458197466e-01,7.464696011841027712e-01,3.815751102518966320e+00,1.107363211055885444e+01
2.977414298186232822e-01,1.382576641854697808e-03,4.710641259101780776e+00,7.077803827913920820e+00
2.850264578222826417e-01,-1.831776449961422804e-01,5.266307063531225019e+00,4.110129017009292340e+00
